Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",Total Distance per 90,Running Distance per 90 (15-20 km/h),HSR Distance per 90 (20-25 km/h),Sprinting Distance per 90 (+25 km/h),HI Distance per 90 (+20 km/h),Meter/Min,Max Speed (km/h),Count Medium Acceleration per 90 (1.5 m/s² to 3 m/s²),Count High Acceleration per 90 (+3 m/s²),Count Medium Deceleration per 90 (-1.5 m/s² to -3 m/s²),Count High Deceleration per 90 (-3 m/s²),Count HSR per 90 (20-25 km/h),Count Sprint per 90 (+25 km/h),Count HI per 90 (+20 km/h)
Bruno Gaspar,Vitória Guimarães,Vitória Guimarães,RB,31,800000,2026-06-30,6,555,0,0.45,0,0.5,12.65,52.56,Portugal,"Portugal, Angola",right,176,70,no,8.59,6.49,67.5,1.95,50,0,0,0,4.22,5.65,1.3,2,0.32,0,0,1.46,0,0,0,0.07,0,0,3,0.49,33.33,0,0,2.76,41.18,0.16,100,2.59,37.5,0.16,0.32,50,1.95,33.33,1.3,0.49,0.16,22.86,2.27,0.81,32.27,81.41,14.76,73.63,5.03,93.55,7.3,86.67,26.11,89.44,4.05,56,18.49,35.75,0.08,0.49,0,0,0,0,0.49,5.51,67.65,1.95,58.33,0,0,0.49,0.65,6.49,90,0,,0,,0,0,0,0,,,0.32,,,0,0,0,0,0,0,,,,,,,,,,,,,,
Matheus Pereira,Santa Clara,Santa Clara,"LW, LWF, LCMF",23,800000,2028-06-30,5,96,0,0.34,3,1.9,28.13,50,Brazil,Brazil,left,172,67,no,6.56,3.75,75,6.56,14.29,0,0,0.94,3.75,6,2.81,0,0,0,0,7.5,0,0,0,0.32,0,0,2,1.88,50,0,2.81,5.63,50,5.63,50,0,0,0.94,2.81,100,13.13,64.29,6.56,3.75,0.94,23.44,3.75,6.56,33.75,63.89,8.44,55.56,5.63,83.33,13.13,57.14,22.5,66.67,6.56,57.14,23.13,37.14,1.78,4.69,0,0,0.94,100,3.75,3.75,75,5.63,33.33,0.94,100,2.81,2.81,7.5,62.5,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,
A. Ruiz,Estrela Amadora,Estrela Amadora,"AMF, CF",31,800000,2026-06-30,5,310,0,0.08,0,0.41,21.19,43.84,Argentina,"Argentina, Italy",left,183,78,no,5.23,3.19,54.55,7.84,44.44,0.87,1.8,0,2.61,5.4,1.45,3,0.87,0,0,2.32,0,0,0,0.02,0,0,7,2.03,14.29,0,0,2.32,25,0.87,0,0.87,33.33,0.29,1.74,66.67,7.84,40.74,1.45,0.29,0,25.55,1.74,1.45,41.23,79.58,10.74,67.57,9.87,88.24,12.77,77.27,36.29,84,2.61,66.67,17.53,24.51,0.12,1.45,0.29,0.29,0.29,100,0,8.13,64.29,2.61,33.33,0.29,100,0.29,0.58,5.52,78.95,0,,0,,0,0,0,0,,,0,,,2.61,0.58,0,1.74,0,0,,,,,,,,,,,,,,
Léo Cordeiro,Estrela Amadora,Estrela Amadora,"LCMF, LDMF",28,800000,2025-06-30,5,382,0,0.03,0,0,12.72,48.15,Brazil,Brazil,right,174,66,no,6.6,4.71,65,2.12,0,0,0,0.24,3.53,7.26,0.47,0,0,0,0,1.18,0,0,0,0.01,0,0,3,0.71,0,0,0,0.47,50,0.24,0,0.24,100,0.24,1.41,66.67,4.24,55.56,0.24,0.94,0.24,36.05,0.24,1.18,54.66,87.5,19.55,77.11,5.65,95.83,21.44,94.51,50.65,91.16,3.53,40,18.16,30.82,0,0.24,0.24,0.24,0.24,0,0,9.42,72.5,1.41,50,0,0,0.47,0.24,7.07,76.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,
Gabriel Batista,Santa Clara,Santa Clara,GK,26,800000,2026-06-30,5,496,0,0,0,0,0.36,0,Brazil,Brazil,right,188,78,no,1.81,0,0,0.18,0,0,0,0,1.81,2.54,0,1,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0.18,0,0,0,0,8.53,0,0,13.43,85.14,8.89,79.59,0,0,4.17,95.65,4.9,100,8.53,76.6,38.54,50.04,0,0,0,0,0,0,0,2.54,71.43,0,0,0,0,0,0,6.17,85.29,4,0.73,17,3.08,2,76.47,4.44,0.81,0.44,0.08,0,0.73,0.18,,,,0,0,0,,,,,,,,,,,,,,
Kikas,Estrela Amadora,Estrela Amadora,"CF, RAMF",26,800000,2025-06-30,5,508,2,0.57,0,0.04,14.35,34.57,Portugal,Portugal,right,177,71,no,2.66,4.25,45.83,3.54,35,0,0,0,0.71,1.17,1.59,1,0.18,0,0,1.59,0.35,2,0.35,0.1,1,0.18,8,1.42,50,25,0,1.77,10,0.18,100,1.59,0,0.18,1.77,40,5.49,29.03,2.13,0.71,0.18,7.26,1.42,0.35,10.28,56.9,1.59,22.22,4.07,91.3,2.66,40,7.8,70.45,0.89,20,18.13,11.89,0.01,0.35,0,0,0,0,0,0.18,0,1.24,28.57,0.18,0,0.18,0.35,1.06,33.33,0,,0,,0,0,0,0,,,0,,,0.18,0,0,0.71,0,0,,,,,,,,,,,,,,
Lucas Soares,Santa Clara,Santa Clara,"RWB, RB, RCMF",26,800000,2027-06-30,5,315,0,0.46,0,0.04,15.71,43.64,Brazil,Brazil,right,176,64,no,6.29,4.57,62.5,3.14,27.27,0,0,0,3.43,4.68,1.14,2,0.57,0,0,3.14,0,0,0,0.13,0,0,4,1.14,25,0,0,3.43,33.33,0,0,3.43,33.33,0,2.29,62.5,5.71,35,0.57,2.29,0.86,19.71,2,0.57,28.86,73.27,9.43,63.64,8,89.29,6.57,73.91,24,79.76,1.71,50,30.66,29.27,0.01,0.29,0.29,0,0.29,100,0.29,4,57.14,2.57,66.67,0.29,100,0.29,0.86,7.14,68,0,,0,,0,0,0,0,,,0.29,,,0,0,0,0,0,0,,,,,,,,,,,,,,
Ponck,Moreirense,Moreirense,"RCB, RCMF",29,800000,2026-06-30,2,31,0,0,0,0,,,Cape Verde Islands,"Cape Verde Islands, Portugal",right,185,84,no,,,,,,,0,,,10,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.05,36.86,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,
J. de Haas,Famalicão,Famalicão,LCB,24,800000,2026-06-30,6,597,0,0.07,0,0.78,12.06,68.75,Netherlands,Netherlands,left,194,87,no,8.89,4.52,80,5.73,60.53,0,0,0.75,5.28,7.55,0.45,1,0.15,0,0,0.15,0,0,0,0.01,0,0,4,0.6,0,0,0,0.15,100,0.15,100,0,0,0.15,0,0,0.6,75,0.45,0,0,27.74,0,0.75,43.72,88.97,17.49,81.9,2.26,93.33,19.9,93.94,38.14,92.49,5.43,63.89,21.56,40.26,0.12,0.3,0.3,0,0,0,0.15,2.86,52.63,0.45,33.33,0.15,0,0.3,0.15,7.84,63.46,0,,0,,0,0,0,0,,,1.81,,,0.45,0.45,0,0,0,0,,,,,,,,,,,,,,
Jhonatan,Rio Ave,Rio Ave,GK,33,800000,2025-06-30,6,595,0,0,0,0,0.45,66.67,Brazil,Brazil,right,189,82,no,1.36,0.3,50,0.15,100,0,0,0,1.21,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.58,0.15,0,23.14,85.62,11.95,77.22,0,0,10.13,97.01,15.13,96,7.87,67.31,31.29,44.65,0,0,0,0,0,0,0,1.21,62.5,0.3,0,0,0,0,0,6.2,60.98,8,1.21,33,4.99,2,75.76,9.47,1.43,1.47,0.222,0,0.91,0.15,,,,0,0,0,,,,,,,,,,,,,,
Patrick William,Rio Ave,Rio Ave,"LCB, RCB",27,800000,2025-06-30,4,222,1,0.78,0,0,12.16,50,Brazil,Brazil,right,185,78,no,10.54,6.89,82.35,1.22,0,0.41,0.58,0.81,4.46,6.35,1.62,2,0.81,1,0.41,0.81,0.41,1,0.41,0.32,1,0.41,2,0.81,50,50,0,1.22,33.33,0.81,0,0.41,100,0,0.41,0,2.03,20,1.22,1.62,0.41,34.05,1.22,0.81,47.03,78.45,21.89,70.37,2.03,80,18.65,91.3,41.76,84.47,4.05,30,19.38,24.1,0,0,0,0,0,0,0,6.08,40,0.81,50,0.41,0,0,0.41,8.92,54.55,0,,0,,0,0,0,0,,,0.81,,,0,0,0,0,0,0,,,,,,,,,,,,,,
Diego Collado,Gil Vicente,Gil Vicente,"RW, RAMF",23,800000,2027-06-30,3,36,0,0.07,0,0,,,Spain,Spain,right,183,67,no,,,,,,,0,,,0,,0,,0,,,,0,,,0,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.42,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,
Cauê,Gil Vicente,Gil Vicente,CF,21,800000,2026-06-30,4,264,0,0.73,0,0.09,30.34,52.81,Brazil,Brazil,right,184,78,yes,6.82,6.82,70,6.48,36.84,0.34,0.44,0.34,1.7,2.21,1.36,0,0,0,0,3.75,0,0,0,0.25,0,0,4,1.36,50,0,0,0.68,100,0.68,100,0,0,0,4.09,58.33,13.98,51.22,2.05,1.7,0.34,10.57,1.02,3.75,18.41,77.78,5.11,73.33,5.45,93.75,3.75,81.82,17.73,76.92,0.34,100,14.13,11.42,0.03,0.34,0,0,0,0,0.34,1.36,50,0.68,50,0,0,0,0.34,1.7,60,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,
J. Teixeira,Gil Vicente,Gil Vicente,AMF,30,800000,2025-06-30,1,23,0,0,0,0,,,Portugal,Portugal,right,178,66,no,,,,,,,0,,,0,,0,,0,,,,0,,,0,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.41,36.04,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,
Pablo Gozálbez,Arouca,Arouca,"AMF, LCMF",23,800000,2027-06-30,2,74,0,0,0,0,18.24,20,Spain,Spain,right,170,65,no,3.65,3.65,33.33,2.43,0,0,0,0,2.43,4,2.43,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,2.43,0,0,0,2.43,0,0,2.43,50,7.3,16.67,0,1.22,0,13.38,2.43,1.22,17.03,57.14,6.08,60,4.86,75,3.65,33.33,14.59,66.67,0,0,16.97,0,0,0,0,0,0,0,0,3.65,100,3.65,33.33,0,0,1.22,1.22,3.65,33.33,0,,0,,0,0,0,0,,,0,,,0,0,0,1.22,0,0,,,,,,,,,,,,,,
M. Merghem,Farense,Farense,"RW, RAMF",27,800000,2026-06-30,2,170,0,0.04,0,0.31,18,47.06,France,"France, Algeria",left,178,70,no,6.35,5.82,54.55,0.53,0,0.53,0.71,0,2.65,3.57,1.06,0,0,0,0,4.76,0,0,0,0.02,0,0,3,1.59,0,0,0,2.65,60,0.53,100,2.12,50,0,6.35,50,11.65,45.45,2.12,4.24,0.53,10.06,0.53,0,23.82,82.22,6.35,83.33,4.76,77.78,7.94,86.67,19.59,83.78,1.59,100,17.3,14.21,0.16,2.12,0,0,0,0,0.53,2.12,100,2.65,100,0.53,100,1.06,1.59,5.29,80,0,,0,,0,0,0,0,,,0,,,0.53,0.53,0,3.18,0,0,,,,,,,,,,,,,,
Álex Millán,Farense,Farense,"LAMF, AMF, LW",24,800000,2026-06-30,4,159,0,0.1,0,0.03,16.42,24.14,Spain,Spain,right,182,74,no,5.09,5.09,44.44,2.83,0,0,0,0,2.83,4.17,2.83,0,0,0,0,0,0,0,0,0.06,0,0,1,0.57,0,0,0,0,0,0,0,0,0,0,1.13,0,5.66,20,3.4,0.57,0,7.92,1.13,0.57,11.89,76.19,4.53,50,2.83,80,2.26,100,10.75,78.95,1.13,50,14.28,10.74,0.02,1.13,0,0,0,0,0,2.26,50,0,0,0.57,100,0.57,0,0.57,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,
Álex Bermejo,Farense,Farense,"LW, LAMF",25,800000,2025-06-30,4,176,1,0.62,0,0.07,16.88,45.45,Spain,Spain,right,183,75,no,5.63,4.6,55.56,4.09,25,0,0,0,3.07,5.45,2.56,0,0,0,0,6.65,0.51,1,0.51,0.32,0,0,5,2.56,60,20,0,2.05,75,2.05,75,0,0,0.51,5.63,63.64,7.16,50,3.58,3.07,1.02,16.36,1.53,2.05,19.43,71.05,5.11,30,4.09,100,7.67,93.33,16.36,71.88,1.02,50,17.84,15.65,0.04,1.53,0,0,1.02,0,0,2.56,100,3.07,66.67,1.02,0,0.51,1.53,4.6,66.67,0,,0,,0,0,0,0,,,0,,,0.51,0,0,5.11,0,0,,,,,,,,,,,,,,
Daniel Penha,Nacional,Nacional,"RCMF, AMF, LAMF",25,750000,2025-06-30,5,271,1,0.35,0,0,17.93,37.04,Brazil,Brazil,left,170,68,yes,3.32,6.31,36.84,3.65,27.27,0.33,0.47,0,0.66,0.94,1.33,0,0,0,0,1.99,0.33,1,0.33,0.12,1,0.33,5,1.66,20,20,0,1.66,0,1.33,0,0.33,0,0.33,2.66,62.5,6.64,45,1.99,1,0.33,16.61,1,1,26.57,72.5,8.97,62.96,5.98,83.33,8.97,77.78,22.92,79.71,1.99,50,19.79,28.66,0,0,0,0,0,0,0,5.65,52.94,2.32,28.57,0,0,0.66,0,2.66,50,0,,0,,0,0,0,0,,,0,,,1,0,0,1.66,0,0,,,,,,,,,,,,,,
Adriano Firmino,Santa Clara,Santa Clara,LCMF,24,750000,2027-06-30,4,341,0,0,1,0.68,17.95,50,Brazil,Brazil,right,187,73,no,8.45,8.71,54.55,1.85,57.14,0.26,0.38,0,3.43,5,2.38,0,0,1,0.26,1.32,0,0,0,0,0,0,0,0,0,0,0.26,1.06,50,0.79,66.67,0.26,0,0,1.06,75,5.28,45,0.26,0.53,0.26,22.17,1.06,0.79,34.31,83.08,9.5,72.22,7.92,96.67,11.61,84.09,30.35,85.22,2.9,72.73,18.05,35.84,0.18,0.79,0.26,0,0,0,0.53,5.28,70,1.85,57.14,0.79,66.67,1.06,0.26,5.54,66.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,
T. van de Looi,Famalicão,Famalicão,"RCMF, AMF, RDMF",25,750000,2027-06-30,5,139,0,0.03,0,0,21.37,48.48,Netherlands,Netherlands,right,186,80,no,8.42,7.77,58.33,8.42,46.15,0,0,0,3.88,5.81,1.94,0,0,0,0,1.94,0,0,0,0.02,0,0,1,0.65,0,0,0,0.65,0,0,0,0.65,0,0.65,1.29,100,2.59,50,0,0.65,0,34.96,0,0.65,49.86,81.82,21.37,75.76,6.47,100,16.83,80.77,45.97,85.92,3.24,40,18.81,25.17,0,0,0,0,0.65,100,0,9.71,60,1.29,50,1.29,50,0.65,0.65,9.71,73.33,0,,0,,0,0,0,0,,,1.29,,,0,0,0,0,0,0,,,,,,,,,,,,,,
João Gonçalves,Boavista,Boavista,GK,23,700000,2027-06-30,4,396,0,0,0,0,0.45,100,Portugal,Portugal,right,188,80,no,0.68,0,0,0.45,100,0,0,0,0.68,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.95,0,0.23,11.59,70.59,9.32,68.29,0,0,1.82,87.5,2.95,92.31,8.64,63.16,44.76,50.42,0,0,0,0,0,0,0,4.55,65,0.45,0,0.45,0,0,0,6.82,76.67,2,0.45,10,2.27,2,80,4.26,0.97,2.26,0.514,0,0.91,0.45,,,,0,0,0,,,,,,,,,,,,,,
Beni,Casa Pia AC,Casa Pia AC,"LCMF, DMF",22,700000,2027-06-30,4,378,0,0,0,0.18,18.33,57.14,Angola,Angola,right,180,73,no,8.57,6.19,61.54,3.33,57.14,0.24,0.34,0,4.52,6.4,0.95,0,0,0,0,0.71,0,0,0,0,0,0,1,0.24,0,0,0,0,0,0,0,0,0,0,1.43,50,6.19,61.54,0,0.24,0,29.76,0,2.62,43.81,84.78,13.1,69.09,7.86,90.91,14.76,95.16,40.95,86.63,2.86,58.33,18.36,29.65,0.04,0.24,0,0,0,0,0,4.76,65,0.71,66.67,0,0,0.48,0,5.24,68.18,0,,0,,0,0,0,0,,,0.24,,,0,0,0,0,0,0,,,,,,,,,,,,,,
N. Zolotić,Casa Pia AC,Casa Pia AC,LCB,31,700000,2025-06-30,2,198,0,0,0,0,9.55,66.67,Bosnia and Herzegovina,Bosnia and Herzegovina,left,188,77,no,9.55,4.55,80,3.18,57.14,0.45,0.65,1.36,5.45,7.83,0.45,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,50,0,0,0,44.09,0,0.45,57.27,90.48,29.55,86.15,2.27,100,20,95.45,49.55,94.5,7.73,64.71,20.27,40.16,0,0,0,0,0,0,0,12.73,85.71,0,0,0,0,0,0,14.55,90.63,0,,0,,0,0,0,0,,,1.82,,,0,0,0,0,0,0,,,,,,,,,,,,,,
Luís Esteves,Nacional,Nacional,"LCMF, LDMF, RCMF",26,700000,2025-06-30,6,583,0,0.38,1,0.4,17.75,53.04,Portugal,Portugal,right,169,62,no,6.48,6.48,61.9,1.39,22.22,0,0,0.15,2.47,3.33,0.77,2,0.31,0,0,1.7,0,0,0,0.06,0,0,11,1.7,9.09,0,0.15,1.54,20,0.77,20,0.77,20,0.15,2.47,50,8.34,53.7,0.46,2.01,0.46,24.55,0.77,2.93,38.44,77.91,11.58,68,6.64,95.35,16.05,75,28.25,85.79,8.64,62.5,23.7,40.65,0.06,0.93,0,0.15,0,0,0.31,8.03,63.46,2.01,15.38,1.23,37.5,0.15,0.31,7.87,80.39,0,,0,,0,0,0,0,,,0.62,,,0.62,0.31,0,0.46,0,0,,,,,,,,,,,,,,
N. Thomas,Nacional,Nacional,"AMF, RAMF, RW",23,700000,2026-06-30,4,244,1,0.4,0,0.94,11.43,41.94,Netherlands,"Netherlands, Curaçao",right,177,77,yes,4.06,3.69,50,0.37,0,0,0,0,2.21,2.95,1.11,0,0,0,0,3.32,0.37,1,0.37,0.15,0,0,4,1.48,25,25,0,4.8,23.08,0,0,4.8,23.08,1.48,3.32,55.56,6.27,35.29,1.48,2.58,0.37,11.8,2.58,0.74,17.34,63.83,4.06,63.64,2.95,87.5,7.01,57.89,11.43,80.65,1.11,66.67,17.85,15.71,0.35,1.48,0,0,0,0,0.74,1.84,60,5.9,37.5,0,0,1.11,1.11,3.32,88.89,0,,0,,0,0,0,0,,,0,,,0,0,0,0.37,0,0,,,,,,,,,,,,,,
Frederico Venâncio,Santa Clara,Santa Clara,"LCB, CB",31,700000,2026-06-30,5,496,0,0.09,0,0,7.44,75.61,Portugal,Portugal,right,186,80,no,7.08,3.99,77.27,2.18,83.33,0,0,0.18,3.99,5.59,0.18,1,0.18,0,0,0,0,0,0,0.02,0,0,1,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0.18,0.18,0,26.49,0,0,43,88.61,16.33,76.67,2.36,100,22.14,95.08,38.83,92.99,4.17,47.83,22,32.93,0,0,0,0,0,0,0,4.17,60.87,0,0,0.36,0,0,0,6.35,65.71,0,,0,,0,0,0,0,,,2.18,,,0,0,0,0,0,0,,,,,,,,,,,,,,
Sidney Lima,Santa Clara,Santa Clara,"RCB, RB",27,700000,2025-06-30,5,496,0,0.28,0,0.09,16.51,64.84,Brazil,Brazil,right,182,72,no,10.16,7.62,73.81,4.35,58.33,0.91,1.27,0.18,3.63,5.08,1.63,1,0.18,0,0,0,0,0,0,0.05,0,0,3,0.54,0,0,0,0.18,0,0,0,0.18,0,0,0.18,0,2.18,58.33,0.91,0,0,22.14,0.36,1.09,33.02,81.32,14.15,71.79,3.81,90.48,12.7,88.57,28.31,86.54,4.72,50,22.49,49.5,0.02,0.18,0,0,0,0,0,5.44,63.33,0.73,50,0.36,0,0.54,0,9.8,68.52,0,,0,,0,0,0,0,,,1.27,,,0.18,0.18,0,0,0,0,,,,,,,,,,,,,,
Guilherme Schettine,Moreirense,Moreirense,"CF, LAMF",28,700000,2026-06-30,5,118,0,0.12,0,0.49,22.88,26.67,Brazil,"Brazil, Italy",right,184,77,no,3.05,6.1,37.5,5.34,28.57,0,0,0,0.76,1.07,2.29,2,1.53,0,0,0.76,0,0,0,0.09,0,0,3,2.29,0,0,0,0.76,0,0.76,0,0,0,0,0,0,6.86,22.22,3.05,3.05,0.76,6.1,0,0.76,9.15,75,1.53,50,3.81,80,1.53,100,7.63,90,0.76,0,19.44,8.66,0.37,1.53,0,0,0.76,100,1.53,0.76,0,0.76,0,0.76,100,0.76,0,0.76,100,0,,0,,0,0,0,0,,,0,,,0.76,0.76,0,0,0,0,,,,,,,,,,,,,,
Benny,Moreirense,Moreirense,"AMF, LCMF, LAMF",26,700000,2027-06-30,4,108,0,0,1,0,27.5,42.42,Portugal,Portugal,left,176,71,no,8.33,12.5,53.33,2.5,33.33,0,0,0,1.67,2.22,3.33,1,0.83,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0.83,0.83,0,0.83,0,0,0,0.83,3.33,75,9.17,45.45,0.83,0.83,0,19.17,0.83,0,31.67,73.68,10.83,69.23,6.67,87.5,8.33,80,29.17,74.29,1.67,100,15.41,19.3,0,0,0,0,0,0,0.83,6.67,75,0.83,0,0,0,0,0,5,83.33,0,,0,,0,0,0,0,,,0,,,0.83,0,0,1.67,0,0,,,,,,,,,,,,,,
Joel Robles,Estoril,Estoril,GK,34,700000,2026-06-30,5,490,0,0,0,0,0.92,80,Spain,Spain,right,197,95,no,1.1,0.18,100,0.73,75,0,0,0,0.92,1.14,0,1,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.18,0.18,13.41,78.08,8.63,68.09,0,0,4.59,96,6.06,93.94,7.35,65,37.84,50.51,0,0,0,0,0,0,0,2.76,60,0.18,0,0,0,0,0,5.33,75.86,3,0.55,27,4.96,3,88.89,6.28,1.15,3.28,0.602,0,1.1,0.73,,,,0,0,0,,,,,,,,,,,,,,
Pedro Amaral,Estoril,Estoril,LB,27,700000,2026-06-30,6,587,0,0.12,0,0.84,12.42,51.85,Portugal,Portugal,left,178,72,no,6.75,6.59,62.79,1.69,72.73,0.15,0.19,0.15,2.45,3,0.92,0,0,0,0,1.69,0,0,0,0.02,0,0,3,0.46,33.33,0,0,3.68,33.33,3.68,33.33,0,0,0.15,1.07,28.57,2.91,31.58,0.77,0.61,0,25.45,2.3,0.61,33.12,81.48,9.35,75.41,5.98,94.87,12.27,77.5,26.22,91.81,3.37,50,19.5,38.6,0.13,0.92,0,0,0.15,0,0.46,2.61,58.82,3.68,45.83,0.92,16.67,0.61,1.23,6.44,73.81,0,,0,,0,0,0,0,,,0.61,,,0.46,0,0,0,0,0,,,,,,,,,,,,,,
T. Segovia,Casa Pia AC,Casa Pia AC,"RCMF, LCMF",21,700000,2026-06-30,5,300,0,0.25,0,0,19.2,32.81,Venezuela,Venezuela,right,179,65,no,5.4,8.1,40.74,1.5,0,0,0,0,2.1,3,2.7,2,0.6,0,0,0.6,0,0,0,0.07,0,0,3,0.9,0,0,0,0.3,0,0.3,0,0,0,0,0.6,100,7.5,32,1.2,0.3,0,29.7,0.6,0.6,44.4,81.76,12.3,63.41,9.9,96.97,16.2,88.89,41.4,86.23,2.7,22.22,17.78,32.11,0,0,0,0,0.3,0,0,5.4,66.67,1.5,40,0.6,0,0.6,0,6.6,68.18,0,,0,,0,0,0,0,,,1.2,,,0,0,0,0,0,0,,,,,,,,,,,,,,
J. Castillo,Gil Vicente,Gil Vicente,"LCMF, RDMF",23,700000,2027-06-30,4,301,0,0,0,0.45,14.65,55.1,Peru,Peru,right,185,80,no,10.47,5.38,72.22,2.99,30,0.9,1.2,0.3,5.68,7.6,0.6,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1.5,60,1.5,60,0,0,0.6,0.9,66.67,3.59,41.67,0.9,0.3,0,20.03,0.9,1.2,31.4,85.71,9.27,77.42,6.28,95.24,11.96,87.5,25.71,90.7,4.19,64.29,19.39,34.27,0.14,0.9,0,0.3,0,0,0,4.49,73.33,2.39,50,0.3,0,0.9,0.6,4.49,80,0,,0,,0,0,0,0,,,1.2,,,0.3,0,0,0.3,0,0,,,,,,,,,,,,,,
Zé Carlos,Gil Vicente,Gil Vicente,RB,26,700000,2026-06-30,6,602,0,0.21,0,0.36,14.65,60.2,Portugal,Portugal,right,177,71,no,10.91,8.22,60,1.05,71.43,0.9,1.17,0.45,5.08,6.62,1.2,1,0.15,0,0,1.05,0,0,0,0.03,0,0,2,0.3,0,0,0,1.2,37.5,0,0,1.2,37.5,0.45,1.2,50,4.34,62.07,0.45,1.5,0.45,33.34,2.24,1.94,46.35,82.26,20.33,76.47,7.48,94,12.26,90.24,39.32,89.73,5.83,41.03,19.24,36.15,0.05,0.6,0,0,0,0,0.3,4.34,55.17,1.5,50,0.15,0,0.3,0.45,8.97,58.33,0,,0,,0,0,0,0,,,0.75,,,0,0,0,0,0,0,,,,,,,,,,,,,,
